Employee ID,Gender,HireDate,Date of Birth,Today's Date,Age,Length of Service,LOS Range,Location,Department,Job Grade,Column
511,M,7/31/2020 0:00,4/11/1998 0:00,4/15/2025 0:00,27,4,,Abuja,Sales,Officer,Gen Z
604,M,2/26/2010 0:00,4/5/1978 0:00,4/15/2025 0:00,47,15,,Lagos,Sales,Officer,Gen X
615,M,12/12/2007 0:00,6/10/1963 0:00,4/15/2025 0:00,61,17,,Lagos,Production,Officer,Baby Boomers
775,M,1/5/2007 0:00,1/8/1964 0:00,4/15/2025 0:00,61,18,,Lagos,Logistics,Management,Baby Boomers
777,M,1/11/2017 0:00,11/1/1982 0:00,4/15/2025 0:00,42,8,,Abuja,Sales,Officer,Millennials
863,M,1/20/2015 0:00,9/3/1990 0:00,4/15/2025 0:00,34,10,,Lagos,Sales,Officer,Millennials
948,F,1/26/2013 0:00,3/12/1987 0:00,4/15/2025 0:00,38,12,,Lagos,Sales,Officer,Millennials
963,F,2/6/2012 0:00,6/5/1974 0:00,4/15/2025 0:00,50,13,,Lagos,Production,Management,Gen X
1002,F,2/6/2006 0:00,6/6/1978 0:00,4/15/2025 0:00,46,19,,Lagos,Production,Officer,Gen X
1326,M,2/7/2018 0:00,3/12/1990 0:00,4/15/2025 0:00,35,7,,Port-Harcourt,Logistics,Officer,Millennials
11,M,2/24/2013 0:00,9/4/1973 0:00,4/15/2025 0:00,51,12,,Port-Harcourt,Logistics,Officer,Gen X
42,F,3/3/2018 0:00,7/7/1990 0:00,4/15/2025 0:00,34,7,,Warri,Human Resource,Officer,Millennials
98,M,3/5/2008 0:00,5/5/1979 0:00,4/15/2025 0:00,45,17,,Abeoukuta,Production,Officer,Gen X
133,M,3/3/2017 0:00,12/3/1986 0:00,4/15/2025 0:00,38,8,,Osogbo,Logistics,Officer,Millennials
184,M,3/3/2018 0:00,4/4/1987 0:00,4/15/2025 0:00,38,7,,Abuja,Production,Officer,Millennials
252,F,3/3/2017 0:00,9/6/1984 0:00,4/15/2025 0:00,40,8,,Port-Harcourt,Production,Officer,Millennials
299,F,4/11/1998 0:00,8/3/1967 0:00,4/15/2025 0:00,57,27,,Lagos,Production,Management,Gen X
302,M,4/18/1998 0:00,4/7/1973 0:00,4/15/2025 0:00,52,27,,Abeoukuta,Sales,Mid-Management,Gen X
303,F,4/29/1998 0:00,1/7/1965 0:00,4/15/2025 0:00,60,26,,Lagos,Sales,Mid-Management,Gen X
304,M,3/5/2009 0:00,10/4/1979 0:00,4/15/2025 0:00,45,16,,Lagos,Finance,Officer,Gen X
305,M,1/2/2002 0:00,2/8/1977 0:00,4/15/2025 0:00,48,23,,Abeoukuta,Production,Officer,Gen X
383,M,3/3/2018 0:00,7/1/1986 0:00,4/15/2025 0:00,38,7,,Lagos,Logistics,Officer,Millennials
489,M,1/3/1999 0:00,2/10/1973 0:00,4/15/2025 0:00,52,26,,Lagos,Sales,Mid-Management,Gen X
720,M,3/3/2018 0:00,12/4/1982 0:00,4/15/2025 0:00,42,7,,Calabar,Finance,Officer,Millennials
736,M,1/4/1999 0:00,5/10/1989 0:00,4/15/2025 0:00,35,26,,Lagos,Production,Management,Millennials
763,M,1/5/2006 0:00,2/6/1975 0:00,4/15/2025 0:00,50,19,,Abeoukuta,Production,Management,Gen X
764,M,1/5/2014 0:00,11/4/1963 0:00,4/15/2025 0:00,61,11,,Abuja,Finance,Management,Baby Boomers
771,M,1/5/2004 0:00,5/2/1978 0:00,4/15/2025 0:00,46,21,,Lagos,Sales,Management,Gen X
826,M,1/6/2005 0:00,4/3/1977 0:00,4/15/2025 0:00,48,20,,Port-Harcourt,Finance,Management,Gen X
1244,F,1/7/2009 0:00,4/11/1975 0:00,4/15/2025 0:00,50,16,,Lagos,Production,Management,Gen X
1321,M,1/7/2006 0:00,8/8/1988 0:00,4/15/2025 0:00,36,19,,Abuja,Production,Management,Millennials
1325,M,1/8/2011 0:00,3/2/1988 0:00,4/15/2025 0:00,37,14,,Lagos,Production,Management,Millennials
1394,M,1/8/2001 0:00,3/8/1989 0:00,4/15/2025 0:00,36,24,,Lagos,Production,Management,Millennials
1454,F,1/8/2013 0:00,10/4/1978 0:00,4/15/2025 0:00,46,12,,Ibadan,Finance,Management,Gen X
38,M,1/8/2010 0:00,11/10/1973 0:00,4/15/2025 0:00,51,15,,Lagos,Logistics,Management,Gen X
55,F,1/8/2011 0:00,11/10/1971 0:00,4/15/2025 0:00,53,14,,Kano,Production,Officer,Gen X
110,M,1/9/2008 0:00,9/5/1981 0:00,4/15/2025 0:00,43,17,,Lagos,Production,Management,Millennials
113,M,1/9/2013 0:00,12/4/1979 0:00,4/15/2025 0:00,45,12,,Abeoukuta,Production,Officer,Gen X
159,M,1/10/2004 0:00,12/7/1976 0:00,4/15/2025 0:00,48,21,,Kano,Production,Mid-Management,Gen X
169,F,1/10/2013 0:00,10/11/1992 0:00,4/15/2025 0:00,32,12,,Lagos,Production,Mid-Management,Millennials
210,M,1/10/2007 0:00,4/1/1976 0:00,4/15/2025 0:00,49,18,,Lagos,Leadership,Top Management,Gen X
211,F,1/12/2013 0:00,8/12/1977 0:00,4/15/2025 0:00,47,12,,Lagos,Production,Officer,Gen X
238,M,1/13/2011 0:00,11/1/1973 0:00,4/15/2025 0:00,51,14,,Lagos,Production,Officer,Gen X
289,M,1/13/2010 0:00,5/7/1979 0:00,4/15/2025 0:00,45,15,,Ibadan,Production,Officer,Gen X
292,M,1/13/2013 0:00,11/10/1979 0:00,4/15/2025 0:00,45,12,,Lagos,Human Resource,Top Management,Gen X
294,M,1/13/2017 0:00,11/10/1991 0:00,4/15/2025 0:00,33,8,,Port-Harcourt,Production,Mid-Management,Millennials
298,M,1/14/2011 0:00,9/5/1981 0:00,4/15/2025 0:00,43,14,,Abuja,Production,Officer,Millennials
368,M,1/15/2010 0:00,12/4/1990 0:00,4/15/2025 0:00,34,15,,Ibadan,Production,Management,Millennials
376,M,1/15/2019 0:00,10/11/1992 0:00,4/15/2025 0:00,32,6,,Calabar,Production,Mid-Management,Millennials
